572,4,1,22,5
573,24,5,19,5
574,4,1,9,5
575,4,1,14,5
576,24,5,11,5
577,24,5,6,5
578,24,5,12,5
579,23,5,18,5
580,23,5,13,5
581,26,5,17,5
582,26,5,12,5
583,23,5,8,5
584,4,1,4,5
585,26,5,7,5
586,23,5,3,5
587,4,1,-1,5
588,24,5,7,5
589,24,5,1,5
590,24,5,2,5
591,27,5,11,5
592,27,5,6,5
593,27,5,16,5
594,21,5,3,5
595,17,5,0,1
596,18,5,-1,5
597,14,5,-4,5
598,22,5,2,5
599,5,1,6,5
600,13,5,-3,5
601,18,5,-3,5
602,14,5,-6,5
603,9,5,-6,5
604,1,1,-3,5
605,8,5,-7,5
606,4,5,-4,5
607,1,5,0,1
608,7,5,-8,5
609,19,5,-6,5
610,19,5,-2,5
611,16,5,-6,5
612,23,5,1,5
613,26,5,1,1
614,4,1,-3,5
615,17,5,-7,5
616,27,5,4,5
617,24,5,0,1
618,21,5,-4,5
619,29,5,9,5
620,21,5,-3,5
621,17,5,-6,5
622,18,5,-7,5
623,22,5,-4,5
624,12,5,-6,5
625,7,5,-6,5
626,11,5,-9,5
627,8,5,-3,5
628,3,5,-3,5
629,21,5,-2,5
630,17,5,-1,1
631,13,5,-8,5
632,18,5,-8,5
633,5,1,9,5
634,5,1,14,5
635,29,5,11,5
636,5,1,4,5
637,22,5,0,1
638,26,5,3,5
639,28,5,8,5
640,28,5,3,5
641,5,1,-1,5
642,22,5,-1,1
643,26,5,-2,5
644,23,5,-1,5
645,19,5,-4,5
646,3,1,-7,5
647,2,1,-7,5
648,3,1,-9,5
649,2,1,-9,5
650,24,5,4,1
651,4,1,23,5
652,28,5,17,5
653,21,5,24,5
654,5,1,21,5
655,18,5,28,5
656,22,5,5,1
657,26,5,22,5
658,3,5,-1,1
659,6,5,-9,5
660,14,5,-2,1
661,9,5,-2,1
662,4,1,1,5
663,17,5,-3,5
664,13,5,-6,5
665,18,5,-6,5
666,22,5,-3,5
667,5,1,1,5
668,24,5,4,5
669,21,5,0,1
670,28,5,7,5
671,5,1,3,5
672,18,5,-4,5
673,22,5,-1,5
674,26,5,2,5
675,29,5,6,5
676,14,5,-7,5
677,9,5,-7,5
678,14,5,-9,5
679,23,5,-6,5
680,19,5,-9,5
681,23,5,-3,5
682,23,5,-2,5
683,19,5,-1,1
684,16,5,-9,5
685,4,1,-6,5
686,24,5,-3,5
687,27,5,1,5
688,29,5,4,5
689,26,5,0,1
690,23,5,-4,5
691,19,5,-7,5
692,27,5,-1,5
693,8,5,-6,5
694,1,1,-2,5
695,2,5,-6,5
696,11,5,-2,1
697,3,1,-8,5
698,11,5,-11,5
699,16,5,-11,5
700,4,1,-8,5
701,24,5,-1,1
702,28,5,-2,5
703,21,5,-9,5
704,5,1,-6,5
705,3,1,-12,5
706,2,1,-12,5
707,13,5,-2,1
708,16,5,-2,1
709,4,1,-7,5
710,24,5,-4,5
711,4,1,19,5
712,24,5,16,5
713,28,5,13,5
714,5,1,17,5
715,21,5,4,1
716,17,5,23,5
717,22,5,21,5
718,26,5,18,5
719,29,5,14,5
720,12,5,23,5
721,7,5,23,5
722,11,5,26,5
723,16,5,26,5
724,23,5,22,5
725,19,5,5,1
726,27,5,19,5
727,5,1,19,5
728,22,5,23,5
729,29,5,16,5
730,26,5,4,1
731,23,5,3,1
732,23,5,2,1
733,23,5,1,1
734,26,5,11,5
735,26,5,6,5
736,26,5,1,5
737,26,5,9,5
738,26,5,14,5
739,26,5,16,5
740,26,5,4,5
