nodes, edges, density
119000, 688727, 1.1502301433262898
120000, 693075, 1.1499452275267663
121000, 697432, 1.149665280809871
122000, 701588, 1.1493646432500062
123000, 706520, 1.1491617883244414
124000, 711178, 1.1489286917860453
125000, 716016, 1.14872005041514
126000, 721360, 1.1485738153426548
127000, 726691, 1.148427741737729
128000, 732165, 1.1482999522495076
129000, 737772, 1.1481888591033882
130000, 743270, 1.1480664136482464
131000, 748905, 1.14796077650076
132000, 755165, 1.1479263715882686
133000, 763691, 1.1481436397362028
134000, 776721, 1.148848186036057
135000, 790130, 1.1495740467820723
136000, 803181, 1.1502422659447091
137000, 816319, 1.1509015971618386
138000, 827702, 1.1513644397307747
139000, 831541, 1.1510532046564037
140000, 836225, 1.1508308977409039
141000, 841187, 1.1506390430666613
142000, 846342, 1.1504685873954186
143000, 850824, 1.15023340648728
144000, 855640, 1.1500337729537178
145000, 861617, 1.1499498304681963
146000, 867060, 1.149814762321422
147000, 873388, 1.1497662782663736
148000, 879038, 1.1496531465572875
149000, 884853, 1.1495567372024598
150000, 890792, 1.1494728377654586
151000, 897579, 1.1494688514247418
152000, 904254, 1.149453922617821
153000, 911241, 1.1494672983917251
154000, 919589, 1.1496038451860873
155000, 926854, 1.1496396907834137
156000, 934050, 1.1496681837113834
157000, 941396, 1.149708952882386
158000, 948594, 1.1497354554016377
159000, 957037, 1.1498696572103
160000, 965504, 1.1500030931856977
161000, 973627, 1.1501042576689808
162000, 982344, 1.1502536378460666
163000, 991397, 1.1504281993447945
164000, 1000450, 1.1505992438880113
165000, 1009723, 1.1507849977417546
166000, 1018466, 1.1509237804972177
167000, 1028204, 1.1511402777221398
168000, 1038256, 1.1513776745394484
169000, 1048116, 1.1515952221071812
170000, 1057722, 1.151788618543929
171000, 1068148, 1.152042024201238
172000, 1078053, 1.1522504697743932
173000, 1089179, 1.1525479425800003
174000, 1100186, 1.152830710670058
175000, 1111260, 1.1531130665048965
176000, 1122675, 1.1534152017022001
177000, 1135555, 1.1538184107565572
178000, 1144481, 1.153928368493324
179000, 1148862, 1.1537097705035548
180000, 1153496, 1.1535112759541535
181000, 1158738, 1.1533579246487335
182000, 1164024, 1.1532090512312583
183000, 1169064, 1.153044120249119
184000, 1174339, 1.1528971539314736
185000, 1179418, 1.152737762251292
186000, 1185005, 1.1526150987963588
187000, 1191130, 1.1525306745676775
188000, 1196550, 1.1523983590964089
189000, 1201547, 1.1522381832898887
190000, 1206479, 1.1520749454707568
191000, 1212564, 1.1519913333599987
192000, 1218515, 1.151899279693492
193000, 1224485, 1.1518091874606755
194000, 1231278, 1.1517746751475215
195000, 1238543, 1.1517714980588245
196000, 1245751, 1.1517642310345557
197000, 1252961, 1.1517568141442207
198000, 1260260, 1.1517549123948212
199000, 1267515, 1.1517498257735708
200000, 1275367, 1.1517828007882043
201000, 1284013, 1.1518656588654084
202000, 1292551, 1.1519402321201562
